kVp,Depth,raw relative dose,Relative Dose
80,-0.012919896,127.14976,1
80,0.36821705,125.18841,0.984574489169307
80,0.7267442,120.014496,0.943882992779538
80,1.2984496,111.5942,0.8776595410011
80,1.8507752,102.971016,0.809840427539934
80,2.6744187,89.985504,0.707712731821122
80,3.7790697,75.985504,0.597606350181078
80,4.641473,65.94203,0.518617022949945
80,5.6782947,56,0.440425526560176
80,6.531008,48.7971,0.383776579680528
80,7.3934107,42.304348,0.332712763280088
80,8.614341,34.898552,0.27446809179978
80,9.583333,30.333334,0.238563832129923
80,10.755814,25.26087,0.198670213769967
80,12.005814,21,0.165159572460066
80,13.246124,17.652174,0.138829786230033
80,14.544574,14.405797,0.113297870165071
80,16.172482,11.666667,0.091755320654951
80,17.344961,9.434783,0.074202129834929
80,18.362404,7.9130435,0.062234041967519
80,19.273256,6.695652,0.052659572460066
80,20.02907,6.0869565,0.047872339672525
100,0.05905512,121.048035,1
100,0.511811,118.19505,0.976430968086347
100,1.1811024,110.24745,0.910774388035295
100,1.515748,105.35662,0.870370345127866
100,2.2440944,96.59389,0.79797982676877
100,3.1496062,86.608444,0.715488227462759
100,3.8976378,78.86463,0.65151516090286
100,4.6062994,71.3246,0.589225591311747
100,5.7874017,59.505096,0.491582502764295
100,6.7322836,51.965065,0.429292924911999
100,8.070867,42.38719,0.350168344327109
100,9.488189,35.458515,0.292929290425904
100,10.846457,29.548763,0.244107746152178
100,12.1850395,23.63901,0.195286193617269
100,13.740157,18.74818,0.15488215070984
100,15.098425,15.283843,0.126262627889829
100,16.555119,12.227075,0.101010107268573
100,18.779528,8.762736,0.072390567926196
100,19.940945,7.13246,0.058922559131175
120,0.038910504,115.174416,1
120,0.920882,111.51163,0.968197919926939
120,1.5045396,105.406975,0.915194351842861
120,1.8806745,101.74419,0.883392280452284
120,2.5421531,94.96124,0.82449942702553
120,3.2555122,86.41473,0.750294492485206
120,3.9818418,79.22481,0.687868128630233
120,4.8119326,70.54263,0.612485241514053
120,5.7068744,63.352715,0.550058921071499
120,6.7055774,55.755814,0.484098951280986
120,7.4189363,51.686047,0.448763265272385
120,8.547341,45.310078,0.393404017781171
120,9.24773,40.697674,0.353356894815946
120,10.259403,35.542637,0.308598369624032
120,11.258106,30.11628,0.26148411293008
120,12.269779,27.267443,0.236749131855811
120,13.709468,22.112404,0.191990589298929
120,15.239948,17.771318,0.154299180470774
120,16.316473,15.600775,0.135453476056696
120,18.015564,11.937984,0.103651352571217
120,19.27367,10.581395,0.09187279056835
120,20,9.631783,0.083627799771088
